sample,Carrier,Ecosystem,Plant,Animal,Zoonotic
SRR16188663,Plastisphere,Terrestrial,53003,72152,60845
SRR16188664,Plastisphere,Terrestrial,66092,80323,70620
SRR16188665,Plastisphere,Terrestrial,57828,76721,67934
SRR16188666,Plastisphere,Terrestrial,67818,80865,69254
SRR16188668,Plastisphere,Terrestrial,69725,82554,74630
SRR16188669,Plastisphere,Terrestrial,78326,84770,85189
SRR16188670,Plastisphere,Terrestrial,77153,80312,76348
SRR16188672,Plastisphere,Terrestrial,82260,83897,80656
SRR16188673,Plastisphere,Terrestrial,84170,87318,88592
SRR16188674,Plastisphere,Terrestrial,67337,81898,82464
SRR16188675,Plastisphere,Terrestrial,81107,85951,82580
SRR16188677,Plastisphere,Terrestrial,76329,85200,89305
SRR16188678,Plastisphere,Terrestrial,76929,87759,81537
SRR16188680,Plastisphere,Terrestrial,69115,85201,76450
SRR16188682,Plastisphere,Terrestrial,69891,84386,76866
SRR16188683,Plastisphere,Terrestrial,76468,88942,83148
SRR16188684,Plastisphere,Terrestrial,74872,80011,80970
SRR16188685,Plastisphere,Terrestrial,59333,78607,68353
SRR16188686,Plastisphere,Terrestrial,68113,87301,74353
SRR16188689,Plastisphere,Terrestrial,63523,77624,66885
SRR16188690,Environment,Terrestrial,61610,43422,37281
SRR16188691,Environment,Terrestrial,56553,35260,28222
SRR16188693,Plastisphere,Terrestrial,58141,80210,69208
SRR16188721,Plastisphere,Terrestrial,17888,57768,23260
SRR16188722,Plastisphere,Terrestrial,23690,56985,25981
SRR16188725,Environment,Terrestrial,16394,24945,16548
SRR16188726,Environment,Terrestrial,20905,30233,21834
SRR16188727,Environment,Terrestrial,14084,21787,14327
SRR16188728,Environment,Terrestrial,19930,29538,21284
SRR16188729,Environment,Terrestrial,14002,21157,14744
SRR16188730,Plastisphere,Terrestrial,63299,77849,63848
SRR16188736,Plastisphere,Terrestrial,25594,55926,26768
SRR16188737,Plastisphere,Terrestrial,28771,71500,56607
SRR16188739,Plastisphere,Terrestrial,24873,62128,27952
SRR16188740,Plastisphere,Terrestrial,28859,53301,33453
SRR16188741,Plastisphere,Terrestrial,62601,76923,63001
SRR16188742,Plastisphere,Terrestrial,48865,71415,53813
SRR16188744,Plastisphere,Terrestrial,64755,74140,67920
SRR16188745,Environment,Terrestrial,13538,18998,13587
SRR16188746,Environment,Terrestrial,24951,35399,25653
SRR16188747,Environment,Terrestrial,17101,24691,17567
SRR16188748,Environment,Terrestrial,11278,19362,11417
SRR16188749,Environment,Terrestrial,15785,25832,16072
SRR16188751,Environment,Terrestrial,27305,48489,35402
SRR16188752,Environment,Terrestrial,21906,41184,28056
SRR16188753,Environment,Terrestrial,19172,41181,25127
SRR16188754,Environment,Terrestrial,34798,58019,45186
SRR16188755,Environment,Terrestrial,21174,42158,27784
SRR16188756,Environment,Terrestrial,15661,23072,17711
SRR16188757,Environment,Terrestrial,15850,23711,18483
SRR16188758,Environment,Terrestrial,17016,26152,18970
SRR16188759,Environment,Terrestrial,16489,25019,17448
SRR16188760,Environment,Terrestrial,15114,24309,16743
SRR16188761,Plastisphere,Terrestrial,55990,64316,59317
SRR16188763,Plastisphere,Terrestrial,80934,84636,81180
SRR16188764,Plastisphere,Terrestrial,83995,87531,84842
SRR16188765,Plastisphere,Terrestrial,85151,88064,83360
SRR16188767,Plastisphere,Terrestrial,81559,95104,86609
SRR16188768,Plastisphere,Terrestrial,65896,77977,69261
SRR16188769,Plastisphere,Terrestrial,59115,72037,62058
SRR16188770,Plastisphere,Terrestrial,91359,96794,94764
SRR16188772,Plastisphere,Terrestrial,47709,61489,51355
SRR16188773,Plastisphere,Terrestrial,83912,90614,87851
SRR16188774,Plastisphere,Terrestrial,63934,81849,78893
SRR16188775,Plastisphere,Terrestrial,45020,53198,47184
SRR16188776,Plastisphere,Terrestrial,83996,94148,93092
SRR16188778,Plastisphere,Terrestrial,72592,76381,72765
SRR16188780,Plastisphere,Terrestrial,79724,81972,80264
SRR16188781,Plastisphere,Terrestrial,82257,89616,83478
SRR16188782,Plastisphere,Terrestrial,66245,69789,66254
SRR16188783,Plastisphere,Terrestrial,74789,81473,78171
SRR16188785,Plastisphere,Terrestrial,50583,63861,59131
SRR16188786,Plastisphere,Terrestrial,55429,61432,57688
SRR16188787,Plastisphere,Terrestrial,64015,70503,65892
SRR16188788,Plastisphere,Terrestrial,66948,71235,67978
SRR16188789,Plastisphere,Terrestrial,55119,66348,56238
SRR16188790,Plastisphere,Terrestrial,67585,70701,69271
SRR16188793,Plastisphere,Terrestrial,66110,82956,67176
SRR16188796,Plastisphere,Terrestrial,77791,83253,77636
SRR16188797,Plastisphere,Terrestrial,79737,85012,81090
SRR16188800,Plastisphere,Terrestrial,71640,83685,73061
SRR16188802,Plastisphere,Terrestrial,58281,71533,62175
SRR16188803,Plastisphere,Terrestrial,67291,77073,68753
SRR16188805,Plastisphere,Terrestrial,80496,87841,82550
SRR16188806,Plastisphere,Terrestrial,71099,88828,73537
SRR16188807,Plastisphere,Terrestrial,82667,87564,84775
SRR16188809,Plastisphere,Terrestrial,84766,88210,86515
SRR16188810,Plastisphere,Terrestrial,66700,75699,70143
SRR16188811,Plastisphere,Terrestrial,77890,81249,78624
SRR16188812,Plastisphere,Terrestrial,79323,83727,80013
SRR16188813,Plastisphere,Terrestrial,82837,89519,85460
SRR16188814,Plastisphere,Terrestrial,73224,80007,73791
SRR16188815,Plastisphere,Terrestrial,76312,81274,77272
SRR16188816,Plastisphere,Terrestrial,72110,91179,73903
SW1,Environment,Seawater,19660,49661,18081
SW10,Environment,Seawater,25862,55782,23704
SW11,Environment,Seawater,26095,59448,24224
SW12,Environment,Seawater,37549,73894,40922
SW13,Environment,Seawater,24353,55223,24666
SW14,Environment,Seawater,21946,52154,21536
SW15,Environment,Seawater,28037,54949,27469
SW16,Environment,Seawater,31287,67736,33648
SW17,Environment,Seawater,32939,64818,40111
SW18,Environment,Seawater,23246,55736,23667
SW2,Environment,Seawater,19796,45522,18918
SW3,Environment,Seawater,21795,47330,21031
SW4,Environment,Seawater,37202,58412,37848
SW5,Environment,Seawater,35420,56996,35056
SW6,Environment,Seawater,33049,55961,32178
SW7,Environment,Seawater,21556,50331,20670
SW8,Environment,Seawater,21521,49178,20387
SW9,Environment,Seawater,39696,64254,38799
Sy2019s003,Plastisphere,Seawater,84321,90071,89417
Sy2019s004,Plastisphere,Seawater,21955,31736,73136
Sy2019s005,Plastisphere,Seawater,16721,38855,36241
Sy2019s009,Plastisphere,Seawater,7694,25053,17267
SyPE2017s003,Plastisphere,Seawater,21997,41258,47046
SyPE2017s005,Plastisphere,Seawater,47790,74824,77167
SyPE2017s007,Plastisphere,Seawater,22842,59177,58567
SyPE2017s009,Plastisphere,Seawater,18014,56866,42686
SyPS2017s003,Plastisphere,Seawater,26573,56697,69042
SyPS2017s006,Plastisphere,Seawater,22508,53113,71662
SyPS2017s010,Plastisphere,Seawater,54418,65084,51516
Wu2019s001,Environment,Freshwater,75746,79927,69077
Wu2019s002,Environment,Freshwater,51136,70639,47974
Wu2019s003,Environment,Freshwater,66737,72129,60530
Wu2019s004,Environment,Freshwater,67961,76206,61350
Wu2019s005,Environment,Freshwater,73894,78325,67265
Wu2019s011,Environment,Freshwater,68156,72965,61961
Wu2019s012,Environment,Freshwater,76745,79799,70818
Wu2019s013,Environment,Freshwater,73402,76975,67338
Wu2019s014,Environment,Freshwater,81497,84861,76738
Wu2019s015,Environment,Freshwater,79237,82220,73773
Wu2019s016,Plastisphere,Freshwater,72801,84760,78351
Wu2019s020,Plastisphere,Freshwater,76309,86092,81200
Wu2019s021,Plastisphere,Freshwater,73056,84150,78410
Wu2019s022,Plastisphere,Freshwater,73366,84396,78691
Wu2019s023,Plastisphere,Freshwater,73504,84523,78810
Xu2019s001,Plastisphere,Seawater,65270,94996,80023
Xu2019s002,Plastisphere,Seawater,81184,96318,90728
Xu2019s003,Plastisphere,Seawater,24586,50621,34194
Xu2019s009,Plastisphere,Seawater,78637,94111,82600
Xu2019s011,Plastisphere,Seawater,35308,88515,69786
Xu2019s012,Plastisphere,Seawater,28223,70402,36291
Xu2019s013,Plastisphere,Seawater,25170,71228,56663
Xu2019s015,Environment,Seawater,67070,89733,72112
Xu2019s016,Environment,Seawater,9842,61754,12520
Xu2019s021,Plastisphere,Seawater,29337,86300,38507
Zh2019s002,Plastisphere,Terrestrial,38527,52787,42401
Zh2019s003,Plastisphere,Terrestrial,34299,58124,40557
Zh2019s007,Plastisphere,Terrestrial,53026,72079,60625
Zh2019s008,Plastisphere,Terrestrial,81809,93057,83703
Zh2019s009,Plastisphere,Terrestrial,51030,66571,58369
Zh2019s010,Plastisphere,Terrestrial,45612,63963,51518
Zh2019s011,Environment,Terrestrial,83108,95578,87263
Zh2019s012,Environment,Terrestrial,57490,75644,60589
