ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB
Mycobacterium	0.153	15.442	0.001215564	0.005370311	Enriched	0.487	0.438
Ramlibacter	0.853	16.26	0.001241433	0.005467668	Enriched	0.634	0.351
Fictibacillus	1.211	14.666	0.001288022	0.005655407	Enriched	0.11	0.048
Veillonella	-1.161	10.966	0.001380114	0.006041173	Depleted	0.006	0.012
Labrys	-1.2	11.288	0.001434531	0.006250191	Depleted	0.005	0.011
Methylobacter	8.913	16.76	0.001436624	0.006250191	Enriched	0.163	0
Nevskia	6.93	14.458	0.001453169	0.006302956	Enriched	0.041	0
Coxiella	5.009	11.55	0.001478468	0.006393254	Enriched	0.011	0
Rhizomicrobium	-0.573	13.921	0.001546071	0.006665388	Depleted	0.059	0.088
Caldicellulosiruptor	4.009	12.425	0.001583382	0.006805679	Enriched	0.011	0.001
Acidovorax	4.379	15.425	0.001635325	0.00694024	Enriched	0.07	0.003
Mongoliitalea	17.692	14.489	0.001677344	0.00694024	Enriched	0.021	0
Rubritalea	17.166	12.666	0.001677562	0.00694024	Enriched	0.015	0
Actinophytocola	18.599	14.747	0.001677579	0.00694024	Enriched	0.04	0
Sphingobacterium	18.03	14.136	0.001677595	0.00694024	Enriched	0.027	0
Simplicispira	18.236	13.92	0.001677595	0.00694024	Enriched	0.031	0
Oceanibaculum	17.38	13.288	0.001677729	0.00694024	Enriched	0.017	0
Sanguibacter	16.807	11.966	0.001677796	0.00694024	Enriched	0.011	0
Alishewanella	16.429	12.136	0.001677847	0.00694024	Enriched	0.009	0
Rhodocytophaga	18.122	13.719	0.001677847	0.00694024	Enriched	0.029	0
Fodinicurvata	17.826	13.288	0.001677897	0.00694024	Enriched	0.023	0
Rubricoccus	17.88	14.425	0.001677897	0.00694024	Enriched	0.024	0
Cyclobacterium	19.374	15.442	0.001677914	0.00694024	Enriched	0.068	0
Formivibrio	-3.448	12.288	0.001715384	0.007074719	Depleted	0.001	0.013
Lautropia	2.476	12.773	0.001769922	0.007278612	Enriched	0.043	0.008
Algoriphagus	2.919	15.214	0.001785701	0.007322399	Enriched	0.141	0.019
Pseudooctadecabacter	2.555	13.055	0.001824738	0.007461034	Enriched	0.032	0.005
Hartmannibacter	-2.126	9.966	0.001911204	0.007792251	Depleted	0.001	0.006
Dechloromonas	-0.118	13.667	0.001925203	0.007817595	Depleted	0.048	0.052
Aestuariimicrobium	-2.645	12.773	0.001928377	0.007817595	Depleted	0.003	0.017
Propionispira	-1.37	11.288	0.001976982	0.007984389	Depleted	0.002	0.006
Luteococcus	-2.147	13.134	0.00198071	0.007984389	Depleted	0.006	0.027
Cerasicoccus	-3.66	12.136	0.002110889	0.008485178	Depleted	0.001	0.011
Rhizobium	0.639	14.921	0.002327632	0.009330143	Enriched	0.271	0.174
Actinotalea	-0.59	12.873	0.002336385	0.009338996	Depleted	0.051	0.077
Fontimonas	4.706	11.772	0.002468229	0.009838445	Enriched	0.009	0
Sphaerobacter	-0.387	13.666	0.002670258	0.010614089	Depleted	0.066	0.086
Metallibacterium	-3.575	17.306	0.002750467	0.01087672	Depleted	0.227	2.702
Weeksella	17.107	13.489	0.002781756	0.01087672	Enriched	0.014	0
Verrucosispora	18.38	15.409	0.002781895	0.01087672	Enriched	0.034	0
Clavibacter	16.77	12.288	0.002781979	0.01087672	Enriched	0.011	0
Arachidicoccus	20.519	16.315	0.002782034	0.01087672	Enriched	0.15	0
Parapedobacter	18.368	13.92	0.002782062	0.01087672	Enriched	0.034	0
Acidipila	-1.878	10.551	0.002837268	0.011062243	Depleted	0.001	0.005
Gp3	-0.714	13.721	0.002870234	0.011160284	Depleted	0.179	0.293
Pontibacillus	4.183	14.01	0.002922304	0.011331871	Enriched	0.049	0.003
Ferruginibacter	2.601	16.064	0.002950964	0.011411995	Enriched	0.316	0.052
Caldalkalibacillus	0.057	12.288	0.003038361	0.01171822	Enriched	0.014	0.014
Demequina	3.169	13.551	0.003123302	0.012013346	Enriched	0.036	0.004
Ideonella	1.836	14.747	0.003152033	0.012091268	Enriched	0.084	0.024
Emticicia	1.843	13.357	0.003186403	0.012188647	Enriched	0.03	0.008
Clostridium_IV	-0.785	12.426	0.003194502	0.012188647	Depleted	0.004	0.007
Brevibacillus	0.196	13.288	0.003298901	0.012525253	Enriched	0.045	0.04
Heliorestis	-2.168	12.426	0.003303079	0.012525253	Depleted	0.003	0.015
Ignavibacterium	-0.489	13.873	0.003309054	0.012525253	Depleted	0.024	0.033
Sphingomonas	0.383	16.873	0.003327934	0.012563391	Enriched	1.719	1.318
Rhodanobacter	-1.66	17.983	0.003424213	0.012892749	Depleted	0.905	2.86
Nitrolancea	0.437	16.165	0.00345984	0.012992611	Enriched	0.214	0.158
Chryseolinea	0.309	14.964	0.003498527	0.013103407	Enriched	0.118	0.095
Magnetospira	-1.038	11.551	0.00371955	0.013894758	Depleted	0.01	0.02
Shinella	3.385	13.135	0.003994679	0.014869252	Enriched	0.032	0.003
Psychrobacter	8.266	15.977	0.004001256	0.014869252	Enriched	0.104	0
Marinomonas	7.113	16.01	0.004046492	0.014998298	Enriched	0.047	0
Maribacter	-2.396	12.136	0.00425642	0.015735523	Depleted	0.004	0.019
Dialister	0.186	14.424	0.004461757	0.016452008	Enriched	0.105	0.093
Kocuria	2.302	10.551	0.004526748	0.016648632	Enriched	0.005	0.001
Sphingorhabdus	3.084	14.392	0.004582911	0.016719756	Enriched	0.077	0.009
Bacteroides	17.355	14.489	0.004616156	0.016719756	Enriched	0.017	0
Methylovulum	16.692	12.773	0.004616156	0.016719756	Enriched	0.011	0
Muricauda	18.499	14.694	0.004616202	0.016719756	Enriched	0.037	0
Aureispira	19.978	15.811	0.004616341	0.016719756	Enriched	0.103	0
Aquimarina	18.808	14.323	0.004616387	0.016719756	Enriched	0.046	0
Ectothiorhodospira	-1.392	13.55	0.004926758	0.017798692	Depleted	0.033	0.086
Ilumatobacter	-0.363	14.873	0.005052815	0.018207998	Depleted	0.17	0.218
Cellulosibacter	-2.785	9.966	0.005114205	0.018382797	Depleted	0.001	0.004
Spartobacteria_genera_incertae_sedis	-0.803	17.504	0.005160994	0.01850437	Depleted	0.9	1.57
Prosthecochloris	-3.842	11.966	0.00532591	0.019027873	Depleted	0.001	0.008
Nitrosomonas	3.818	13.774	0.005333671	0.019027873	Enriched	0.024	0.002
Pirellula	-0.543	14.694	0.005357061	0.019063655	Depleted	0.18	0.262
Intrasporangium	2.063	11.287	0.005501428	0.019528702	Enriched	0.007	0.002
Peptococcus	-0.648	11.964	0.005793786	0.020515466	Depleted	0.016	0.025
Marmoricola	0.635	13.773	0.005914193	0.020889982	Enriched	0.119	0.077
Povalibacter	-0.502	14.58	0.006032585	0.021255554	Depleted	0.145	0.206
Mangroviflexus	1.385	11.967	0.006581024	0.023130839	Enriched	0.016	0.006
Kineococcus	3.799	10.551	0.00689008	0.024157602	Enriched	0.005	0
Longilinea	-0.538	14.323	0.006991012	0.024451408	Depleted	0.081	0.118
Streptacidiphilus	0.317	13.665	0.007143379	0.02492323	Enriched	0.107	0.086
Hydrocarboniphaga	5.31	14.426	0.007178619	0.024985095	Enriched	0.067	0.002
Xanthobacter	1.483	14.694	0.007253924	0.025185766	Enriched	0.018	0.006
Parafilimonas	17.014	12.966	0.007671902	0.026445036	Enriched	0.013	0
Roseivirga	17.88	14.551	0.007672134	0.026445036	Enriched	0.024	0
Paraperlucidibaca	18.122	14.288	0.007672211	0.026445036	Enriched	0.029	0
Niveispirillum	-14.307	8.966	0.008204592	0.028150025	Depleted	0	0.002
Neorickettsia	-15.423	10.966	0.008206314	0.028150025	Depleted	0	0.004
Phreatobacter	-0.841	12.288	0.008519974	0.029155881	Depleted	0.025	0.044
Azospira	3.785	14.519	0.008584958	0.029307978	Enriched	0.116	0.008
Legionella	-0.795	13.666	0.008657844	0.02948626	Depleted	0.054	0.094
Methylovorus	2.706	11.551	0.008711409	0.02959805	Enriched	0.009	0.001
Diaphorobacter	2.433	12.136	0.008762256	0.029700095	Enriched	0.018	0.003
Thermacetogenium	3.989	14.135	0.008795317	0.029741512	Enriched	0.064	0.004
Chelativorans	3.023	15.375	0.008984131	0.030308169	Enriched	0.146	0.018
Pandoraea	3.914	18.064	0.009233327	0.031047273	Enriched	1.405	0.093
Domibacillus	-0.615	11.551	0.009246735	0.031047273	Depleted	0.009	0.014
Catalinimonas	-3.522	12.425	0.009351476	0.031325249	Depleted	0.001	0.014
Geosporobacter	-2.659	9.965	0.009571534	0.031987306	Depleted	0.001	0.004
Pseudogulbenkiania	-0.991	11.967	0.009617571	0.032066059	Depleted	0.011	0.022
Proteiniclasticum	-3.659	10.551	0.009956801	0.033061273	Depleted	0	0.004
Halomonas	2.289	14.424	0.009962402	0.033061273	Enriched	0.064	0.013
Rivicola	2.817	14.323	0.010176677	0.033694008	Enriched	0.05	0.007
Rheinheimera	0.975	13.92	0.010800318	0.03567605	Enriched	0.021	0.01
Dietzia	6.354	13.92	0.010979318	0.036183571	Enriched	0.028	0
Alkanibacter	3.754	13.49	0.011028746	0.03626272	Enriched	0.036	0.003
Aggregicoccus	-0.236	11.55	0.011154067	0.036590469	Depleted	0.012	0.014
Saccharomonospora	2.454	15.977	0.011187405	0.036615657	Enriched	0.094	0.017
Sneathiella	4.886	12.286	0.011224396	0.036652661	Enriched	0.01	0
Flavitalea	1.286	14.773	0.011441416	0.03727603	Enriched	0.137	0.056
Dokdonella	-2.752	17.26	0.011898086	0.038675554	Depleted	0.303	2.042
Alsobacter	-0.937	13.92	0.012064987	0.039128948	Depleted	0.096	0.184
Anaerospora	-2.2	11.551	0.012230917	0.039577138	Depleted	0.003	0.014
Carboxydothermus	14.844	10.551	0.012781829	0.040450911	Enriched	0.003	0
Humitalea	14.522	9.966	0.012782993	0.040450911	Enriched	0.002	0
Hydrogenophilus	15.844	11.965	0.012783122	0.040450911	Enriched	0.006	0
Alcaligenes	16.61	13.425	0.012784286	0.040450911	Enriched	0.01	0
Weissella	17.789	13.873	0.012784286	0.040450911	Enriched	0.023	0
Brachybacterium	15.429	10.966	0.012784286	0.040450911	Enriched	0.004	0
Alkalitalea	19.785	16.873	0.012784286	0.040450911	Enriched	0.09	0
Arcticibacter	18.651	14.943	0.012784416	0.040450911	Enriched	0.041	0
Thiolamprovum	21.166	16.417	0.012784416	0.040450911	Enriched	0.235	0
Taonella	16.692	12.136	0.012784416	0.040450911	Enriched	0.011	0
Brevibacterium	3.073	11.288	0.012862025	0.040606438	Enriched	0.009	0.001
Wandonia	1.801	9.965	0.013837551	0.043589814	Enriched	0.004	0.001
Acidisphaera	-2.2	9.966	0.014038938	0.044126793	Depleted	0.001	0.004
Propionispora	-1.604	11.773	0.014204199	0.044548114	Depleted	0.005	0.015
Amycolatopsis	5.624	18.037	0.015963942	0.049957335	Enriched	2.049	0.042
Saccharospirillum	-16.477	12.426	0.016003452	0.049971391	Depleted	0	0.009
Anaerobranca	-0.989	11.551	0.016351734	0.050947434	Depleted	0.01	0.019
Arhodomonas	-2.784	10.966	0.0175307	0.054501761	Depleted	0.001	0.004
Polaromonas	1.871	15.214	0.018217796	0.056514771	Enriched	0.201	0.055
Sulfuriferula	2.418	15.977	0.018663018	0.057698043	Enriched	0.105	0.02
Pseudohongiella	4.554	13.053	0.018680095	0.057698043	Enriched	0.008	0
Bradyrhizobium	0.37	16.786	0.018912005	0.058288188	Enriched	1.046	0.809
Agromyces	0.765	14.288	0.020065926	0.061711372	Enriched	0.083	0.049
Haemophilus	15.107	11.288	0.02138859	0.065223581	Enriched	0.004	0
Filimonas	18.905	16.277	0.021389901	0.065223581	Enriched	0.049	0
Pseudarcicella	15.692	12.424	0.021390338	0.065223581	Enriched	0.005	0
Bizionia	16.948	13.425	0.021390775	0.065223581	Enriched	0.013	0
Ancylobacter	3.726	14.799	0.021478248	0.065350661	Enriched	0.022	0.002
Caldithrix	-1.522	9.966	0.026260745	0.079732092	Depleted	0.001	0.003
Thermobifida	2.69	16.009	0.027087582	0.082067898	Enriched	0.174	0.027
Olivibacter	5.99	14.393	0.030108481	0.091027125	Enriched	0.021	0
Nitratireductor	3.888	11.288	0.030595993	0.092247738	Enriched	0.005	0
Syntrophomonas	5.967	16.707	0.030641505	0.092247738	Enriched	0.444	0.007
Phaeospirillum	3.707	11.773	0.03092539	0.092906382	Enriched	0.004	0
Dehalobacter	-0.59	11.288	0.031275181	0.09375984	Depleted	0.009	0.013
Vulgatibacter	-14.044	9.967	0.031514396	0.094278917	Depleted	0	0.002
Marinilabilia	-2.075	9.967	0.032067627	0.09573327	Depleted	0.001	0.004
Paludibaculum	-1.5	13.551	0.032267069	0.096127572	Depleted	0.019	0.054
Orientia	-1.615	9.965	0.033723377	0.10025679	Depleted	0.001	0.003
Deinococcus	5.181	16.998	0.033814667	0.100319101	Enriched	0.123	0.003
Aquabacterium	2.049	17.085	0.03394874	0.100319101	Enriched	0.545	0.132
Rhodoluna	2.302	10.55	0.033955239	0.100319101	Enriched	0.005	0.001
Profundibacterium	-3.008	9.967	0.035515154	0.104711002	Depleted	0	0.002
Spongiivirga	17.453	14.61	0.036016418	0.105104214	Enriched	0.018	0
Lachnospiracea_incertae_sedis	14.522	10.551	0.036016418	0.105104214	Enriched	0.002	0
Azorhizobium	17.046	14.214	0.036016418	0.105104214	Enriched	0.014	0
Paraglaciecola	16.982	13.214	0.036016791	0.105104214	Enriched	0.013	0
Pyrinomonas	16.948	13.288	0.036016791	0.105104214	Enriched	0.013	0
Sulfobacillus	-3.199	9.966	0.036580919	0.106532594	Depleted	0	0.003
Thiobacillus	2.547	12.55	0.036999904	0.107533326	Enriched	0.014	0.002
Compostibacillus	2.619	12.872	0.037878846	0.10986405	Enriched	0.035	0.006
Glycomyces	1.507	15.988	0.039928074	0.115572741	Enriched	0.069	0.024
Adhaeribacter	1.298	16.286	0.040125586	0.115909335	Enriched	0.081	0.033
Rhizorhapis	1.419	11.551	0.042639607	0.122922666	Enriched	0.013	0.005
Turicibacter	0	15.01	0.043514388	0.125191595	NotSig	0.109	0.109
Dyella	-0.413	13.425	0.044505383	0.127785074	Depleted	0.046	0.061
Microbispora	-0.49	11.966	0.046697772	0.133810683	Depleted	0.011	0.015
Herbaspirillum	-1.037	12.136	0.047379799	0.135492933	Depleted	0.008	0.017
Anaerovorax	0.287	12.873	0.047748429	0.136186557	Enriched	0.052	0.043
Roseomonas	-0.742	14.489	0.04781322	0.136186557	Depleted	0.1	0.167
Castellaniella	4.048	13.425	0.04930236	0.140148343	Enriched	0.017	0.001
Anaerovibrio	3.122	9.967	0.049907139	0.141585461	Enriched	0.003	0
Geoalkalibacter	1.414	14.214	0.050418673	0.142752871	NotSig	0.044	0.017
Gemmobacter	3.302	11.966	0.050907075	0.143850289	NotSig	0.01	0.001
Chiayiivirga	3.607	11.288	0.051235425	0.144491999	NotSig	0.004	0
Streptomonospora	-0.741	12.666	0.051524399	0.145020351	NotSig	0.013	0.022
Gp9	4.5	13.214	0.052749071	0.148175048	NotSig	0.015	0.001
Mameliella	-3.723	12.872	0.053412217	0.149743092	NotSig	0.001	0.016
Peredibacter	1.267	11.551	0.054556188	0.152650354	NotSig	0.014	0.006
Aurantimonas	2.444	11.773	0.055153064	0.154018438	NotSig	0.007	0.001
Allocatelliglobosispora	-1.117	11.773	0.056953026	0.158734314	NotSig	0.008	0.017
Prosthecobacter	-0.863	10.966	0.057530854	0.160032221	NotSig	0.004	0.006
Caenispirillum	0.856	17.053	0.058439831	0.162244434	NotSig	0.409	0.226
Saccharibacteria_genera_incertae_sedis	1.688	18.16	0.059451188	0.164578795	NotSig	1.662	0.516
Promicromonospora	2.932	13.666	0.059511323	0.164578795	NotSig	0.034	0.004
Sulfuritalea	-1.25	15.115	0.060203379	0.165187448	NotSig	0.095	0.226
Siphonobacter	14.692	11.55	0.061233678	0.165187448	NotSig	0.003	0
Simkania	15.33	11.966	0.061235623	0.165187448	NotSig	0.004	0
Cetobacterium	14.692	10.966	0.061235623	0.165187448	NotSig	0.003	0
Marinimicrobium	17.277	14.52	0.061235623	0.165187448	NotSig	0.016	0
Gryllotalpicola	14.329	10.965	0.061235623	0.165187448	NotSig	0.002	0
Hydrogenoanaerobacterium	14.522	10.966	0.061235623	0.165187448	NotSig	0.002	0
Perlucidibaca	14.107	9.966	0.061235623	0.165187448	NotSig	0.002	0
Salisaeta	18.304	15.358	0.061236272	0.165187448	NotSig	0.032	0
Litorivivens	15.522	11.551	0.061236272	0.165187448	NotSig	0.005	0
Pseudomaricurvus	15.61	12.425	0.061236272	0.165187448	NotSig	0.005	0
Cloacibacterium	14.329	10.55	0.061236272	0.165187448	NotSig	0.002	0
Leadbetterella	17.5	14.639	0.061236272	0.165187448	NotSig	0.019	0
Blastococcus	2.779	17.734	0.061888671	0.166632327	NotSig	0.819	0.119
Desulfoprunum	-13.308	8.967	0.063092403	0.169553408	NotSig	0	0.001
Sinibacillus	2.67	14.551	0.064334712	0.172566981	NotSig	0.028	0.004
Ectothiorhodosinus	-2.522	8.967	0.067416355	0.180493693	NotSig	0	0.002
Bdellovibrio	3.033	13.425	0.06786354	0.181350696	NotSig	0.028	0.003
Aureimonas	2.887	13.135	0.072643635	0.193761622	NotSig	0.035	0.005
Methyloversatilis	1.675	14.136	0.076926852	0.20480339	NotSig	0.023	0.007
Azospirillum	0.416	15.375	0.077744045	0.20659358	NotSig	0.123	0.092
Cellulosimicrobium	2.693	14.323	0.080964136	0.214499153	NotSig	0.076	0.012
Serinicoccus	3.122	13.135	0.08104338	0.214499153	NotSig	0.015	0.002
Solimonas	4.409	17.214	0.081169967	0.214499153	NotSig	0.696	0.033
Blastomonas	1.207	13.609	0.083195369	0.219244485	NotSig	0.069	0.03
Heliophilum	3.259	10.551	0.083272958	0.219244485	NotSig	0.003	0
Prevotella	3.8	11.967	0.084133138	0.221101266	NotSig	0.005	0
Schumannella	2.8	11.551	0.085004098	0.222979499	NotSig	0.005	0.001
Luteolibacter	1.377	13.92	0.085160774	0.222980595	NotSig	0.05	0.019
Thermomarinilinea	-2.671	15.581	0.089038862	0.232707796	NotSig	0.019	0.12
Sandaracinus	1.701	14.053	0.089949249	0.234657363	NotSig	0.037	0.011
Hoeflea	2.327	15.01	0.091149758	0.2373553	NotSig	0.136	0.027
Sphaerotilus	1.315	11.288	0.092774229	0.241145399	NotSig	0.006	0.002
Opitutus	-0.094	16.032	0.094581011	0.245394733	NotSig	0.24	0.256
Flavisolibacter	0.026	17.259	0.097368483	0.252168467	NotSig	0.241	0.237
Romboutsia	-0.414	14.92	0.101410386	0.262160544	NotSig	0.068	0.091
Stella	2.463	11.773	0.102437522	0.264336969	NotSig	0.011	0.002
Alcanivorax	3.075	16.135	0.10297202	0.265236593	NotSig	0.046	0.005
Aridibacter	-0.024	16.021	0.104582199	0.266173766	NotSig	0.415	0.422
Tabrizicola	13.107	8.966	0.105756061	0.266173766	NotSig	0.001	0
Nitriliruptor	13.522	9.966	0.105759544	0.266173766	NotSig	0.001	0
Leptonema	13.844	9.966	0.105759544	0.266173766	NotSig	0.001	0
Thiomonas	13.522	9.966	0.105759544	0.266173766	NotSig	0.001	0
Methanobacterium	13.107	8.966	0.105759544	0.266173766	NotSig	0.001	0
Neisseria	13.845	9.967	0.105759544	0.266173766	NotSig	0.001	0
Idiomarina	14.329	10.55	0.105760704	0.266173766	NotSig	0.002	0
Phascolarctobacterium	14.33	10.966	0.105760704	0.266173766	NotSig	0.002	0
Gillisia	15.223	12.136	0.105760704	0.266173766	NotSig	0.004	0
Acetanaerobacterium	13.107	8.966	0.105760704	0.266173766	NotSig	0.001	0
Deinobacterium	16.651	13.551	0.105760704	0.266173766	NotSig	0.01	0
Nibrella	15.429	12.288	0.105760704	0.266173766	NotSig	0.004	0
Kinneretia	1.202	11.288	0.1069581	0.268713396	NotSig	0.011	0.005
Anaerotruncus	0.385	12.136	0.115099494	0.288659012	NotSig	0.017	0.013
Natranaerovirga	-0.66	10.55	0.116529168	0.291731796	NotSig	0.002	0.004
Thermobacillus	3.915	12.966	0.118051251	0.295024755	NotSig	0.015	0.001
Amorphus	-0.664	13.053	0.12098145	0.301819108	NotSig	0.043	0.068
Methylococcus	1.258	14.25	0.122747834	0.30556871	NotSig	0.013	0.005
Agrococcus	1.938	13.287	0.122912712	0.30556871	NotSig	0.065	0.017
Pusillimonas	1.607	10.966	0.123162594	0.305657428	NotSig	0.006	0.002
Zhizhongheella	0.025	13.358	0.124832366	0.309263519	NotSig	0.1	0.098
Mechercharimyces	3.122	12.136	0.125181155	0.309590135	NotSig	0.009	0.001
Cellulomonas	1.698	13.721	0.126076916	0.311266019	NotSig	0.096	0.03
Rubellimicrobium	1.924	15.943	0.126307718	0.311297259	NotSig	0.194	0.051
Intestinimonas	-1.615	9.966	0.128810742	0.314726985	NotSig	0.001	0.003
Sporolactobacillaceae_incertae_sedis	2.311	12.551	0.129087947	0.314726985	NotSig	0.017	0.003
Aspromonas	1.836	11.966	0.129796748	0.314726985	NotSig	0.012	0.003
Syntrophobacter	-12.723	8.967	0.130123471	0.314726985	NotSig	0	0.001
Xenophilus	-12.722	8.966	0.130123471	0.314726985	NotSig	0	0.001
Tistlia	-12.722	8.967	0.130125383	0.314726985	NotSig	0	0.001
Desulforhopalus	-12.722	8.966	0.130125383	0.314726985	NotSig	0	0.001
Desulfococcus	-12.722	8.967	0.130125383	0.314726985	NotSig	0	0.001
Kallotenue	-17.246	13.721	0.130125383	0.314726985	NotSig	0	0.016
Methanothrix	-12.722	8.967	0.130125383	0.314726985	NotSig	0	0.001
Andreprevotia	-12.722	8.966	0.130125383	0.314726985	NotSig	0	0.001
Granulibacter	-2.199	8.967	0.131913451	0.318511835	NotSig	0	0.001
Cnuella	4.4	14.638	0.133354467	0.321447339	NotSig	0.057	0.003
Rubinisphaera	-0.67	13.966	0.136174831	0.327692215	NotSig	0.057	0.091
Mucilaginibacter	3.029	13.966	0.136568443	0.328086142	NotSig	0.044	0.005
Gallionella	3.5	11.966	0.139226377	0.33390931	NotSig	0.004	0
Mariniphaga	2.606	9.966	0.140618366	0.336681892	NotSig	0.002	0
Comamonas	1.385	9.967	0.142550785	0.340736969	NotSig	0.003	0.001
Amaricoccus	2.121	8.967	0.143432417	0.342271002	NotSig	0.001	0
Litorilinea	0.459	16.341	0.148945425	0.354833257	NotSig	0.12	0.087
Lentilitoribacter	-0.113	11.551	0.152893476	0.362814848	NotSig	0.005	0.005
Truepera	-1.503	13.214	0.152963653	0.362814848	NotSig	0.013	0.038
Terrimicrobium	0.652	15.536	0.153058541	0.362814848	NotSig	0.038	0.024
Nitrosospira	0.575	15.409	0.153663185	0.363644054	NotSig	0.16	0.107
Rickettsia	0.336	12.666	0.154412908	0.364813277	NotSig	0.009	0.007
Oligoflexus	-1.106	11.551	0.154969504	0.365523111	NotSig	0.005	0.01
Terrisporobacter	0.147	15.096	0.158256882	0.372661008	NotSig	0.106	0.096
Yersinia	1.303	11.288	0.16721905	0.393116285	NotSig	0.005	0.002
Kaistia	4.104	18.458	0.169715394	0.398328729	NotSig	0.238	0.014
Bellilinea	-2.411	14.944	0.170093591	0.398560844	NotSig	0.017	0.089
Desulfomonile	-0.937	9.966	0.170910202	0.399817801	NotSig	0.002	0.003
Rhodocyclus	-3.2	11.967	0.177949238	0.415603213	NotSig	0.001	0.005
Schlesneria	-2.522	10.966	0.178719488	0.416720114	NotSig	0.001	0.003
Nonomuraea	-0.302	11.288	0.180861483	0.419363703	NotSig	0.012	0.015
Acidicaldus	-1.522	8.966	0.18105532	0.419363703	NotSig	0.001	0.002
Georgfuchsia	-1.2	9.966	0.183430268	0.419363703	NotSig	0.001	0.002
Parasegetibacter	-0.222	13.824	0.186118501	0.419363703	NotSig	0.057	0.066
Desulfohalobium	-0.615	10.551	0.186709102	0.419363703	NotSig	0.003	0.004
Marinobacterium	12.522	8.966	0.187785755	0.419363703	NotSig	0.001	0
Lacihabitans	12.522	8.965	0.187785755	0.419363703	NotSig	0.001	0
Spongiibacterium	12.522	8.966	0.187785755	0.419363703	NotSig	0.001	0
Spiribacter	12.522	8.966	0.187785755	0.419363703	NotSig	0.001	0
Pelagicola	12.522	8.966	0.187785755	0.419363703	NotSig	0.001	0
Pseudorhodobacter	12.522	8.966	0.187785755	0.419363703	NotSig	0.001	0
Maribius	12.522	8.966	0.187785755	0.419363703	NotSig	0.001	0
Boseongicola	12.522	8.966	0.187785755	0.419363703	NotSig	0.001	0
Sporichthya	12.522	8.966	0.187785755	0.419363703	NotSig	0.001	0
Gaetbulibacter	12.522	8.966	0.187785755	0.419363703	NotSig	0.001	0
Candidatus_Pelagibacter	13.107	9.966	0.187787951	0.419363703	NotSig	0.001	0
Parabacteroides	13.523	9.967	0.187787951	0.419363703	NotSig	0.001	0
Gracilimonas	13.107	9.966	0.187787951	0.419363703	NotSig	0.001	0
Rhodothermus	15.915	12.967	0.187787951	0.419363703	NotSig	0.006	0
Aquimonas	15.844	12.425	0.187787951	0.419363703	NotSig	0.006	0
Thalassococcus	13.107	9.966	0.187787951	0.419363703	NotSig	0.001	0
Aerococcus	12.523	8.967	0.187787951	0.419363703	NotSig	0.001	0
Chitinimonas	13.522	10.551	0.187787951	0.419363703	NotSig	0.001	0
Inhella	13.844	10.551	0.187787951	0.419363703	NotSig	0.001	0
Catenibacterium	12.522	8.966	0.187787951	0.419363703	NotSig	0.001	0
Eoetvoesia	13.522	9.966	0.187787951	0.419363703	NotSig	0.001	0
Faecalibacterium	14.981	11.551	0.187787951	0.419363703	NotSig	0.003	0
Spirillum	-0.972	13.137	0.189003978	0.421013781	NotSig	0.036	0.071
Marinobacter	3.259	13.136	0.189116912	0.421013781	NotSig	0.01	0.001
Desulfuromusa	1.8	10.551	0.189745634	0.421533316	NotSig	0.004	0.001
Thermovenabulum	-0.441	11.288	0.189941081	0.421533316	NotSig	0.003	0.004
Advenella	1.537	9.967	0.19040691	0.421910964	NotSig	0.003	0.001
Desulfonatronospira	1.674	10.551	0.195016623	0.431455382	NotSig	0.003	0.001
Acidiphilium	1.274	10.551	0.195704965	0.432308027	NotSig	0.007	0.003
Thiohalobacter	-1.436	11.967	0.196626355	0.433672038	NotSig	0.013	0.036
Leptolinea	-1.533	12.965	0.205522328	0.452593151	NotSig	0.008	0.023
Desulfurispora	2.607	13.666	0.210067557	0.461889683	NotSig	0.054	0.009
Methylibium	-1.155	14.137	0.210971967	0.463164612	NotSig	0.038	0.084
Sterolibacterium	-4.058	13.288	0.211569822	0.463763649	NotSig	0.002	0.029
Rhodoferax	1.523	14.747	0.216702869	0.474286801	NotSig	0.071	0.025
Nocardiopsis	0.305	14.721	0.218596628	0.477568737	NotSig	0.039	0.031
Geminicoccus	-1.544	16.747	0.218871727	0.477568737	NotSig	0.038	0.111
Novosphingobium	2.784	16.105	0.221432081	0.482417679	NotSig	0.368	0.053
Luteimicrobium	-1.641	16.116	0.227915259	0.495785174	NotSig	0.027	0.083
Trichococcus	3.385	10.966	0.230076232	0.499724175	NotSig	0.004	0
Sideroxydans	2.607	10.966	0.23117887	0.501356	NotSig	0.002	0
Herbiconiux	1.385	10.55	0.23667477	0.51249605	NotSig	0.004	0.001
Subdivision3_genera_incertae_sedis	-0.544	13.874	0.241253472	0.521619249	NotSig	0.115	0.167
Aquicella	1.312	13.873	0.24378624	0.52629798	NotSig	0.023	0.009
Thalassobius	-2.2	9.967	0.251580161	0.542303459	NotSig	0	0.001
Desulfuribacillus	-1.785	8.966	0.25288511	0.544294196	NotSig	0	0.001
Oleiagrimonas	-1.784	8.967	0.254209075	0.546319804	NotSig	0	0.001
Smaragdicoccus	1.187	11.967	0.266332054	0.571512544	NotSig	0.01	0.004
Dyadobacter	-0.655	14.251	0.27533417	0.589942735	NotSig	0.083	0.131
