ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB
Pelotomaculum	-3.136	14.522	2.62E-14	5.95E-13	Depleted	0.016	0.142
Thermosporothrix	-0.554	17.496	3.70E-14	8.25E-13	Depleted	0.693	1.017
Desulfitibacter	-3.248	13.873	4.29E-14	9.42E-13	Depleted	0.019	0.184
Tumebacillus	-2.69	17.989	5.56E-14	1.20E-12	Depleted	0.272	1.757
Gp22	-2.737	12.774	6.75E-14	1.44E-12	Depleted	0.014	0.09
Desulfosoma	-4.565	11.773	6.95E-14	1.46E-12	Depleted	0.001	0.035
Sporacetigenium	-3.135	13.966	1.07E-13	2.22E-12	Depleted	0.018	0.16
Thermaerobacter	-4.558	12.136	1.15E-13	2.34E-12	Depleted	0.001	0.028
Desulfuromonas	-1.309	12.288	1.54E-13	3.10E-12	Depleted	0.036	0.088
Syntrophus	-4.448	11.288	2.25E-13	4.46E-12	Depleted	0.001	0.026
Pseudoxanthomonas	5.251	17.27	3.61E-13	7.06E-12	Enriched	0.553	0.015
Jatrophihabitans	-1.544	13.054	3.80E-13	7.33E-12	Depleted	0.035	0.102
Cystobacter	-1.106	14.775	5.73E-13	1.09E-11	Depleted	0.054	0.116
Micromonospora	-2.504	15.032	6.35E-13	1.19E-11	Depleted	0.139	0.789
Desulfoglaeba	-3.659	12.135	6.61E-13	1.22E-11	Depleted	0.005	0.067
Aneurinibacillus	-2.761	11.772	2.09E-12	3.79E-11	Depleted	0.006	0.04
Clostridium_XI	-2.594	12.966	2.10E-12	3.79E-11	Depleted	0.013	0.076
Actinomadura	-0.667	19.183	2.26E-12	4.04E-11	Depleted	1.687	2.679
Lelliottia	8.696	18.38	4.16E-12	7.32E-11	Enriched	0.841	0.002
Bosea	3.335	15.136	4.50E-12	7.82E-11	Enriched	0.252	0.025
Zavarzinella	-1.68	15.156	5.72E-12	9.83E-11	Depleted	0.154	0.492
Arthrobacter	1.871	19.003	6.35E-12	1.08E-10	Enriched	2.459	0.672
Gp4	-1.908	17.983	8.20E-12	1.38E-10	Depleted	0.716	2.688
Latescibacteria_genera_incertae_sedis	-1.971	14.897	8.61E-12	1.43E-10	Depleted	0.044	0.171
Chthonomonas/Armatimonadetes_gp3	-2.61	12.665	9.52E-12	1.56E-10	Depleted	0.01	0.063
Desulfotomaculum	1.534	17.579	1.14E-11	1.85E-10	Enriched	1.15	0.397
Clostridium_III	-1.197	16.032	1.53E-11	2.45E-10	Depleted	0.469	1.076
Catabacter	-3.278	16.146	1.62E-11	2.57E-10	Depleted	0.044	0.422
Thermolithobacter	-5.39	10.967	1.89E-11	2.96E-10	Depleted	0.001	0.025
Rhodoplanes	-2.771	15.551	2.24E-11	3.48E-10	Depleted	0.184	1.256
Caloramator	-3.216	15.251	7.16E-11	1.10E-09	Depleted	0.041	0.377
Gracilibacter	-0.973	15.424	8.36E-11	1.27E-09	Depleted	0.197	0.386
Pedomicrobium	-2.09	14.694	8.54E-11	1.28E-09	Depleted	0.127	0.54
Rhodoligotrophos	-1.811	12.288	8.61E-11	1.28E-09	Depleted	0.016	0.057
Chryseobacterium	7.175	15.954	9.65E-11	1.42E-09	Enriched	0.195	0.001
Gimesia	-1.749	13.136	1.17E-10	1.71E-09	Depleted	0.024	0.081
Hazenella	-3.058	11.773	2.40E-10	3.46E-09	Depleted	0.004	0.029
Parasutterella	-5.522	14.011	2.95E-10	4.21E-09	Depleted	0.002	0.108
Thermoleophilum	-1.452	14.721	3.30E-10	4.66E-09	Depleted	0.094	0.257
Armatimonadetes_gp4	-2.646	15.175	3.51E-10	4.91E-09	Depleted	0.044	0.274
Acetobacter	-5.287	10.966	4.12E-10	5.71E-09	Depleted	0.001	0.023
Marinicauda	-5.659	10.551	4.48E-10	6.15E-09	Depleted	0	0.015
Sphingopyxis	4.834	17.603	4.83E-10	6.57E-09	Enriched	0.674	0.024
Gp26	-2.442	15.054	5.93E-10	7.98E-09	Depleted	0.06	0.324
Euzebya	-2.715	13.053	6.06E-10	8.09E-09	Depleted	0.006	0.041
Pelosinus	-1.823	12.288	6.23E-10	8.24E-09	Depleted	0.007	0.026
Thermobrachium	-3.729	12.424	6.36E-10	8.32E-09	Depleted	0.003	0.043
Flavobacterium	1.787	15.392	6.65E-10	8.63E-09	Enriched	0.288	0.083
Thermosediminibacter	-7.574	14.579	8.69E-10	1.12E-08	Depleted	0	0.056
Rhodopila	-2.241	12.136	9.03E-10	1.15E-08	Depleted	0.01	0.049
Azotobacter	6.098	16.105	9.22E-10	1.16E-08	Enriched	0.301	0.004
Desulfosporosinus	-0.856	15.932	9.65E-10	1.21E-08	Depleted	0.255	0.461
Alicyclobacillus	-2.706	17.645	1.04E-09	1.30E-08	Depleted	0.369	2.409
Thermincola	-2.915	14.721	1.54E-09	1.89E-08	Depleted	0.047	0.357
Tolumonas	-16.892	10.551	1.59E-09	1.93E-08	Depleted	0	0.012
Aminomonas	-2.235	12.426	1.90E-09	2.29E-08	Depleted	0.012	0.057
Sediminibacterium	-2.757	16.529	2.23E-09	2.67E-08	Depleted	0.096	0.646
Sorangium	-1.928	12.288	2.31E-09	2.75E-08	Depleted	0.009	0.036
Geobacter	-3.193	15.551	3.10E-09	3.66E-08	Depleted	0.049	0.447
Polyangium	-0.318	14.134	3.23E-09	3.78E-08	Depleted	0.045	0.056
Fonticella	-2.686	13.489	4.57E-09	5.26E-08	Depleted	0.015	0.095
Lactobacillus	8.579	16.799	4.59E-09	5.26E-08	Enriched	0.646	0.002
Gp25	-3.18	11.774	4.60E-09	5.26E-08	Depleted	0.003	0.024
Desulfitobacterium	-1.69	15.651	4.70E-09	5.32E-08	Depleted	0.087	0.282
Acholeplasma	-4.107	11.773	5.44E-09	6.11E-08	Depleted	0.002	0.03
Vulcanibacillus	-3.364	15.85	5.65E-09	6.30E-08	Depleted	0.021	0.221
Aquisphaera	-0.866	14.323	6.49E-09	7.18E-08	Depleted	0.176	0.322
Anaeromyxobacter	-3.531	15.551	9.22E-09	1.01E-07	Depleted	0.044	0.514
Mesorhizobium	2.954	16.551	9.52E-09	1.04E-07	Enriched	0.812	0.105
Halorhodospira	-3.744	14.638	1.06E-08	1.15E-07	Depleted	0.012	0.166
Leuconostoc	10.816	16.652	1.19E-08	1.28E-07	Enriched	0.609	0
Isosphaera	-16.97	10.966	1.30E-08	1.38E-07	Depleted	0	0.013
Staphylococcus	7.694	15.885	1.35E-08	1.43E-07	Enriched	0.07	0
Methylobrevis	-3.955	13.966	1.37E-08	1.44E-07	Depleted	0.006	0.091
Ferrithrix	-2.405	12.289	1.39E-08	1.45E-07	Depleted	0.007	0.036
Acidobacterium	-4.039	15.074	1.55E-08	1.60E-07	Depleted	0.014	0.237
Burkholderia	1.899	16.987	1.75E-08	1.80E-07	Enriched	0.824	0.221
Caldanaerovirga	-5.032	12.134	1.77E-08	1.80E-07	Depleted	0.001	0.019
Actinocorallia	-3.304	10.551	3.19E-08	3.23E-07	Depleted	0.001	0.015
Phenylobacterium	3.82	18.988	3.42E-08	3.43E-07	Enriched	3.13	0.222
Methylovirgula	-2.57	13.289	3.48E-08	3.47E-07	Depleted	0.007	0.042
Moraxella	8.562	14.873	3.67E-08	3.64E-07	Enriched	0.128	0
Ferriphaselus	-1.403	12.55	3.96E-08	3.90E-07	Depleted	0.025	0.067
Desulfovirgula	-2.981	10.551	4.52E-08	4.42E-07	Depleted	0.002	0.019
Gemmatimonas	-0.996	16.27	5.18E-08	5.03E-07	Depleted	0.732	1.461
Anaerosolibacter	-2.808	14.358	5.41E-08	5.22E-07	Depleted	0.031	0.216
Sphaerisporangium	-3.522	10.551	1.83E-07	1.75E-06	Depleted	0.001	0.014
Gp7	-1.38	15.885	1.96E-07	1.87E-06	Depleted	0.322	0.838
Thiobacter	-3.259	11.773	2.14E-07	2.01E-06	Depleted	0.002	0.017
Noviherbaspirillum	2.312	15.708	2.14E-07	2.01E-06	Enriched	0.478	0.096
Hyphomicrobium	-0.026	15.721	2.32E-07	2.17E-06	Depleted	0.275	0.28
Halochromatium	-0.536	15.195	2.66E-07	2.46E-06	Depleted	0.059	0.086
Dendrosporobacter	-2.727	11.966	2.75E-07	2.53E-06	Depleted	0.005	0.033
Siccibacter	7.234	14.096	3.69E-07	3.37E-06	Enriched	0.051	0
Aquamicrobium	20.438	15.566	4.36E-07	3.97E-06	Enriched	0.142	0
Atribacteria_genera_incertae_sedis	-2.483	11.551	4.57E-07	4.12E-06	Depleted	0.004	0.025
Byssovorax	-0.926	14.009	5.12E-07	4.60E-06	Depleted	0.063	0.12
BRC1_genera_incertae_sedis	-2.516	13.359	5.23E-07	4.65E-06	Depleted	0.015	0.084
Bacillus	-0.473	18.942	5.27E-07	4.65E-06	Depleted	2.675	3.713
Limnohabitans	1.886	15.195	5.28E-07	4.65E-06	Enriched	0.182	0.049
Syntrophothermus	1.963	16.58	5.52E-07	4.83E-06	Enriched	0.663	0.17
Microbacterium	1.366	14.666	7.02E-07	6.10E-06	Enriched	0.218	0.084
Planococcus	5.179	14.848	7.05E-07	6.10E-06	Enriched	0.122	0.003
Cellvibrio	4.161	13.61	7.38E-07	6.34E-06	Enriched	0.054	0.003
Aquihabitans	0.039	14.425	7.70E-07	6.58E-06	Enriched	0.114	0.11
Pedobacter	1.653	15.932	8.69E-07	7.38E-06	Enriched	0.304	0.097
Roseateles	2.094	15.666	1.08E-06	9.10E-06	Enriched	0.182	0.043
Granulosicoccus	-2.915	13.135	1.19E-06	9.95E-06	Depleted	0.009	0.067
Methanocella	-3.058	13.824	1.19E-06	9.95E-06	Depleted	0.014	0.118
Aeromonas	5.788	12.772	1.27E-06	1.05E-05	Enriched	0.037	0.001
Salinibacter	-2.65	13.358	1.58E-06	1.30E-05	Depleted	0.008	0.052
Caldicoprobacter	-1.254	11.288	1.64E-06	1.35E-05	Depleted	0.011	0.027
Ohtaekwangia	7.514	18.425	1.69E-06	1.38E-05	Enriched	0.926	0.005
Rubrobacter	-1.706	14.358	1.70E-06	1.38E-05	Depleted	0.066	0.215
Ferrovibrio	6.645	13.61	1.80E-06	1.45E-05	Enriched	0.034	0
Effusibacillus	-5.154	10.966	1.90E-06	1.53E-05	Depleted	0	0.01
Oxobacter	-0.366	13.61	2.03E-06	1.62E-05	Depleted	0.07	0.09
Thermoflavifilum	-5.006	10.965	2.11E-06	1.67E-05	Depleted	0	0.009
Terrimonas	1.694	16.297	2.28E-06	1.80E-05	Enriched	0.373	0.115
Thermoanaerobacterium	-3.199	10.551	2.29E-06	1.80E-05	Depleted	0.001	0.008
Kozakia	-3.075	10.966	2.38E-06	1.86E-05	Depleted	0.002	0.015
Oceanibacterium	-2.06	16.279	2.87E-06	2.23E-05	Depleted	0.029	0.123
Labilithrix	-1.288	11.772	3.21E-06	2.48E-05	Depleted	0.012	0.029
Eggerthella	-4.724	9.967	3.48E-06	2.67E-05	Depleted	0	0.008
WPS-1_genera_incertae_sedis	-0.421	14.01	3.92E-06	2.99E-05	Depleted	0.11	0.148
Symbiobacterium	-2.225	18.282	4.09E-06	3.11E-05	Depleted	0.708	3.312
Pelobacter	-2.785	11.551	4.33E-06	3.27E-05	Depleted	0.003	0.02
Tardiphaga	3.141	13.61	4.76E-06	3.58E-05	Enriched	0.089	0.01
Desulfonauticus	-3.37	11.287	4.89E-06	3.65E-05	Depleted	0.001	0.012
Gemella	-2.784	9.967	4.91E-06	3.65E-05	Depleted	0.001	0.01
Nitrospira	-0.922	13.551	4.95E-06	3.66E-05	Depleted	0.125	0.237
Laceyella	0.162	14.693	5.33E-06	3.92E-05	Enriched	0.071	0.064
Cryptanaerobacter	-17.58	12.426	5.87E-06	4.29E-05	Depleted	0	0.02
Porphyrobacter	-3.259	9.966	6.27E-06	4.57E-05	Depleted	0.001	0.008
Saccharopolyspora	0.036	14.988	6.75E-06	4.89E-05	Enriched	0.041	0.04
Fodinibacter	-5.244	11.551	7.18E-06	5.17E-05	Depleted	0	0.011
Gp16	-0.725	16.449	7.68E-06	5.51E-05	Depleted	0.605	1
Achromobacter	7.347	18.746	7.74E-06	5.52E-05	Enriched	1.76	0.011
Candidatus_Anammoxoglobus	-4.784	10.549	7.95E-06	5.64E-05	Depleted	0	0.008
Alkaliphilus	-1.01	13.214	8.97E-06	6.34E-05	Depleted	0.031	0.062
Gp11	-1.57	12.136	9.17E-06	6.44E-05	Depleted	0.016	0.046
Fluviicola	3.063	11.288	9.74E-06	6.81E-05	Enriched	0.014	0.002
Calditerricola	-2.579	10.55	9.78E-06	6.81E-05	Depleted	0.001	0.009
Anaeroplasma	22.853	17.688	1.02E-05	7.08E-05	Enriched	0.758	0
Kyrpidia	-15.81	9.966	1.14E-05	7.85E-05	Depleted	0	0.006
Naumannella	-3.522	10.551	1.22E-05	8.40E-05	Depleted	0.001	0.01
Caldanaerobius	-1.185	11.773	1.25E-05	8.54E-05	Depleted	0.014	0.032
Caulobacter	2.393	14.213	1.30E-05	8.81E-05	Enriched	0.105	0.02
Methylomicrobium	8.746	16.116	1.38E-05	9.35E-05	Enriched	0.145	0
Aeromicrobium	3.589	18.116	1.48E-05	9.96E-05	Enriched	1.228	0.102
Megasphaera	-4.591	9.967	1.54E-05	0.000103392	Depleted	0	0.007
Desulfovibrio	-0.359	12.774	1.60E-05	0.000106819	Depleted	0.028	0.035
Rathayibacter	-3.784	9.966	1.68E-05	0.000111811	Depleted	0.001	0.008
Hirschia	4.592	15.885	1.75E-05	0.000115488	Enriched	0.114	0.005
Jeotgalibacillus	-1.603	12.286	1.90E-05	0.000125009	Depleted	0.004	0.013
Desulfacinum	-15.81	10.551	2.21E-05	0.000144641	Depleted	0	0.006
