OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_276	Archaea	Thaumarchaeota	Unassigned	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	
OTU_5853	Archaea	Thaumarchaeota	Unassigned	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	
OTU_618	Archaea	Thaumarchaeota	Unassigned	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	
OTU_2218	Archaea	Thaumarchaeota	Unassigned	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	
OTU_1446	Archaea	Thaumarchaeota	Unassigned	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	
OTU_9358	Archaea	Thaumarchaeota	Unassigned	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	
OTU_3548	Archaea	Thaumarchaeota	Unassigned	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	
OTU_2997	Archaea	Thaumarchaeota	Unassigned	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	
OTU_1267	Archaea	Thaumarchaeota	Unassigned	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	
OTU_4969	Archaea	Thaumarchaeota	Unassigned	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	
OTU_3919	Archaea	Thaumarchaeota	Unassigned	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	
OTU_3925	Archaea	Thaumarchaeota	Unassigned	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	
OTU_1889	Archaea	Thaumarchaeota	Unassigned	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	
OTU_7047	Archaea	Thaumarchaeota	Unassigned	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	
OTU_7524	Archaea	Thaumarchaeota	Unassigned	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	
OTU_7029	Archaea	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella	Methanocella_paludicola
OTU_8198	Archaea	Thaumarchaeota	Unassigned	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	
OTU_6636	Archaea	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella	
OTU_4720	Archaea	Thaumarchaeota	Unassigned	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	
OTU_7426	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanotrichaceae	Methanothrix	Methanothrix_soehngenii
OTU_8804	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula	Methanoregula_formicica
OTU_6723	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium_lacus
OTU_28	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_1	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Haloferula	Haloferula_chungangensis
OTU_5	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	
OTU_53	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas_hispanica
OTU_9	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas_marina
OTU_16	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	Bacillus_ginsengisoli
OTU_70	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amylibacter	Amylibacter_marinus
OTU_2	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter_proteolyticus
OTU_4	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Bermanella	Bermanella_marisrubri
OTU_32	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	Alcanivorax_borkumensis
OTU_33	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_1796	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas_gracilis
OTU_94	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Thalassococcus	Thalassococcus_halodurans
OTU_364	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas_atlantica
OTU_12	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Planktomarina	Planktomarina_temperata
OTU_4927	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Thalassococcus	Thalassococcus_halodurans
OTU_19	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_cuatrocienegasensis
OTU_106	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Hyphomonas	Hyphomonas_johnsonii
OTU_109	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Aquabacterium	Aquabacterium_parvum
OTU_8818	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Demequinaceae	Demequina	Demequina_oxidasica
OTU_13	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Rhodanobacter	Rhodanobacter_thiooxydans
OTU_149	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter	Erythrobacter_nanhaisediminis
OTU_24	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum	Tenacibaculum_aiptasiae
OTU_18	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	Alicyclobacillus_contaminans
OTU_10	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Tumebacillus	Tumebacillus_ginsengisoli
OTU_6930	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Phenylobacterium_muchangponense
OTU_73	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter_johnsonii
OTU_1684	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	Hydrogenophaga_defluvii
OTU_272	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Mameliella	Mameliella_phaeodactyli
OTU_15	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea	Pandoraea_thiooxydans
OTU_29	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Planktomarina	Planktomarina_temperata
OTU_197	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Litoreibacter	Litoreibacter_ponti
OTU_416	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	Ramlibacter_tataouinensis
OTU_472	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudoruegeria	Pseudoruegeria_aquimaris
OTU_42	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Flectobacillus	Flectobacillus_lacus
OTU_104	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas_addita
OTU_89	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Blastomonas	Blastomonas_aquatica
OTU_3064	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pelagicola	Pelagicola_litorisediminis
OTU_61	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_XVIII	Symbiobacterium	Symbiobacterium_terraclitae
OTU_22	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis_subsp._cremoris
OTU_380	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Psychroserpens	Psychroserpens_mesophilus
OTU_2991	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium_qingshengii
OTU_40	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium_aquidurense
OTU_21	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Phenylobacterium_lituiforme
OTU_25	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas_australiensis
OTU_20	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Limnobacter	Limnobacter_thiooxidans
OTU_1763	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_819	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Loktanella	Loktanella_tamlensis
OTU_455	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter	Sulfitobacter_porphyrae
OTU_80	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans	Limnohabitans_parvus
OTU_68	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium_aquaticum
OTU_46	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_alcaligenes
OTU_59	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Oleibacter	Oleibacter_marinus
OTU_781	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter	Sulfitobacter_guttiformis
OTU_1848	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Roseateles	Roseateles_aquatilis
OTU_2703	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_363	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	Hydrogenophaga_taeniospiralis
OTU_1467	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_737	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Lelliottia	Lelliottia_amnigena
OTU_57	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Lishizhenia	Lishizhenia_caseinilytica
OTU_142	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Tateyamaria	Tateyamaria_pelophila
OTU_1878	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_37	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae_2	Desulfotomaculum	Desulfotomaculum_alcoholivorax
OTU_4426	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_27	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Pseudarcicella	Pseudarcicella_hirudinis
OTU_207	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria	Ruegeria_meonggei
OTU_203	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Thalassospira	Thalassospira_povalilytica
OTU_26	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Ponticaulis	Ponticaulis_koreensis
OTU_31	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Marinoscillum	Marinoscillum_pacificum
OTU_2279	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_262	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Aquabacterium	Aquabacterium_limnoticum
OTU_318	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter	Sulfitobacter_geojensis
OTU_41	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Rheinheimera	
OTU_5719	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_1981	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_861	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Citreicella	Citreicella_thiooxidans
OTU_2972	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans	Limnohabitans_parvus
OTU_2739	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_6211	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_8727	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_43	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutterella_parvirubra
OTU_36	Bacteria	Actinobacteria	Actinobacteria	Euzebyales	Euzebyaceae	Euzebya	Euzebya_tangerina
OTU_211	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Hyphomonas	Hyphomonas_beringensis
OTU_2343	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_2371	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_1715	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax_temperans
OTU_5910	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_1443	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans	
OTU_4525	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia_pickettii
OTU_4755	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_7147	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_6715	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_6435	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_191	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	Methylotenera	
OTU_131	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Azotobacter	Azotobacter_vinelandii
OTU_181	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	Bacillus_nanhaiisediminis
OTU_1312	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria	Ruegeria_arenilitoris
OTU_345	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio_azureus
OTU_47	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Zoogloea	Zoogloea_caeni
OTU_69	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Aquabacterium	Aquabacterium_commune
OTU_30	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Caenispirillum	Caenispirillum_salinarum
OTU_256	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_9554	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_4358	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_64	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavimarina	Flavimarina_pacifica
OTU_834	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio_chagasii
OTU_7775	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_2234	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_6791	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans	Limnohabitans_parvus
OTU_174	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	Alcanivorax_borkumensis
OTU_7002	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_436	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Ideonella	Ideonella_dechloratans
OTU_381	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter	Erythrobacter_flavus
OTU_52	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Roseibacillus	Roseibacillus_persicicus
OTU_234	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum	Tenacibaculum_ovolyticum
OTU_58	Bacteria	Firmicutes	Clostridia	Clostridiales	Syntrophomonadaceae	Syntrophothermus	Syntrophothermus_lipocalidus
OTU_195	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	Streptomyces_yanglinensis
OTU_148	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium_haoranii
OTU_227	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Haematobacter	Haematobacter_missouriensis
OTU_5378	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
OTU_8275	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_44	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter	Erythrobacter_nanhaisediminis
OTU_3839	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_67	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	Nocardioides_mesophilus
OTU_185	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Micromonospora	Micromonospora_pallida
OTU_8830	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_1508	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea	Rubritalea_squalenifaciens
OTU_87	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_incertae_sedis	Unassigned	Cocleimonas	Cocleimonas_flava
OTU_628	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Altererythrobacter	Altererythrobacter_namhicola
OTU_202	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Albidovulum	Albidovulum_inexpectatum
OTU_105	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Maribacter	Maribacter_forsetii
OTU_9293	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_93	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Sediminibacterium	Sediminibacterium_goheungense
OTU_465	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_simiae
OTU_5564	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_6821	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_9480	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_140	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium_czechense
OTU_5371	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	
OTU_8394	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_3715	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_48	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Rhizorhapis	Sphingobium_suberifaciens
OTU_3281	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_7756	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_9182	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_125	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Gaetbulibacter	Gaetbulibacter_marinus
OTU_4828	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_3368	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_770	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium_rosettiformans
OTU_50	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Vogesella	Vogesella_perlucida
OTU_4197	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_9292	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_3906	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_135	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Gelidibacter	Gelidibacter_gilvus
OTU_4044	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	Rhodoferax_saidenbachensis
OTU_5959	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_2046	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_5549	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_6559	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_76	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aquimarina	Aquimarina_salinaria
OTU_638	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_Incertae_Sedis_XII	Exiguobacterium	Exiguobacterium_artemiae
OTU_3922	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Mesoflavibacter	Mesoflavibacter_zeaxanthinifaciens
OTU_1974	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	Bacillus_vietnamensis
OTU_157	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Diaphorobacter	Diaphorobacter_oryzae
OTU_176	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium_daqingense
OTU_408	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Kaistia	Kaistia_hirudinis
OTU_1299	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Loktanella	Loktanella_rosea
OTU_126	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_132	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Siansivirga	Siansivirga_jejuensis
OTU_362	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aquibacter	Aquibacter_zeaxanthinifaciens
OTU_8099	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_587	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Ulvibacter	Ulvibacter_litoralis
OTU_7720	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_8785	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_6759	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_8893	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_4236	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter_haemolyticus
OTU_6589	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_8392	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_296	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	Alcanivorax_xenomutans
OTU_4152	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_3587	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium_cutihirudinis
OTU_9142	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
OTU_51	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Propionispira	Propionispira_arcuata
OTU_3887	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Sediminibacterium	Sediminibacterium_salmoneum
OTU_122	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus_haeundaensis
OTU_233	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Amycolatopsis	Amycolatopsis_keratiniphila_subsp._keratiniphila
OTU_90	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Subsaxibacter	Subsaxibacter_broadyi
OTU_9515	Bacteria	Proteobacteria	Alphaproteobacteria	Unassigned	SAR11	Candidatus_Pelagibacter	
