ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB
Pelosinus	16.417	11.773	0.000890914	0.004834831	Enriched	0.009	0
Ureibacillus	15.932	10.551	0.000890984	0.004834831	Enriched	0.006	0
Kriegella	16.548	11.967	0.00089102	0.004834831	Enriched	0.01	0
Nubsella	17.725	13.55	0.00089102	0.004834831	Enriched	0.022	0
Marixanthomonas	17.112	12.288	0.000891055	0.004834831	Enriched	0.014	0
Acidithiobacillus	18.174	14.799	0.000891073	0.004834831	Enriched	0.03	0
Microscilla	19.102	15.053	0.000891073	0.004834831	Enriched	0.056	0
Desulfobacter	3.06	11.55	0.000898487	0.004856597	Enriched	0.012	0.001
Blautia	5.135	13.136	0.000958545	0.005161145	Enriched	0.025	0.001
Luteolibacter	-0.913	15.34	0.000962064	0.005161145	Depleted	0.122	0.229
Cereibacter	1.691	12.288	0.000987825	0.005279498	Enriched	0.035	0.011
Chelativorans	2.494	12.136	0.000993743	0.005291311	Enriched	0.022	0.004
Terrimonas	-0.792	15.137	0.001017046	0.005395259	Depleted	0.222	0.385
Thermovenabulum	8.654	16.653	0.001024475	0.00541454	Enriched	0.141	0
Nitritalea	4.34	10.551	0.001040699	0.005476314	Enriched	0.007	0
Dasania	-5.14	12.136	0.001043838	0.005476314	Depleted	0	0.015
Pseudoruegeria	5.144	14.58	0.001069119	0.005588396	Enriched	0.111	0.003
Pantoea	5.392	16.76	0.001127015	0.005869525	Enriched	0.117	0.003
Roseburia	3.731	13.549	0.001157434	0.00598673	Enriched	0.032	0.002
Microcella	2.11	14.666	0.00115791	0.00598673	Enriched	0.056	0.013
Rhodobacter	-0.123	14.823	0.001186584	0.006112834	Depleted	0.27	0.294
Mycoplasma	-16.295	10.966	0.001200567	0.006141417	Depleted	0	0.008
Rhodothalassium	-16.472	10.966	0.001200739	0.006141417	Depleted	0	0.009
Pseudohaliea	-2.721	12.136	0.001249552	0.006368253	Depleted	0.003	0.019
Ochrobactrum	5.067	15.306	0.001268783	0.006443253	Enriched	0.082	0.002
Fangia	-3.995	11.551	0.001338245	0.006771902	Depleted	0.001	0.013
Methylotenera	-0.772	15.271	0.001400425	0.007061505	Depleted	0.164	0.28
Oscillochloris	-4.646	15.624	0.001451797	0.007294771	Depleted	0.002	0.063
Alteromonas	4.306	15.681	0.001477612	0.00739843	Enriched	0.118	0.006
Oligoflexus	-1.201	11.774	0.00152417	0.00760486	Depleted	0.01	0.022
Beijerinckia	1.243	14.551	0.001650815	0.008208057	Enriched	0.06	0.025
Pseudoxanthomonas	2.933	15.707	0.001697868	0.008409245	Enriched	0.15	0.02
Gemmobacter	0.751	14.323	0.001703064	0.008409245	Enriched	0.121	0.072
Salinarimonas	4.808	12.425	0.001764621	0.008471719	Enriched	0.02	0.001
Proteiniclasticum	17.548	13.214	0.001768761	0.008471719	Enriched	0.019	0
Hoppeia	15.832	10.551	0.001768936	0.008471719	Enriched	0.006	0
Anoxybacillus	15.725	11.288	0.001768971	0.008471719	Enriched	0.005	0
Pseudobacteriovorax	16.195	10.967	0.001769006	0.008471719	Enriched	0.007	0
Oceanimonas	15.931	10.965	0.001769006	0.008471719	Enriched	0.006	0
Ulvibacter	16.112	11.551	0.001769076	0.008471719	Enriched	0.007	0
Mooreia	16.832	11.773	0.001769111	0.008471719	Enriched	0.012	0
Microvirgula	15.931	10.966	0.001769147	0.008471719	Enriched	0.006	0
Acidiphilium	1.253	12.136	0.00179316	0.008526194	Enriched	0.017	0.007
Vampirovibrio	-1.097	13.213	0.001795345	0.008526194	Depleted	0.03	0.063
Hyphomicrobium	1.35	16.835	0.001798447	0.008526194	Enriched	0.357	0.14
Thalassobaculum	-3.956	11.551	0.001857718	0.008778024	Depleted	0.001	0.013
Hoeflea	1.113	12.873	0.001886216	0.008883269	Enriched	0.049	0.023
Tahibacter	4.611	13.92	0.001908879	0.00896043	Enriched	0.034	0.001
Sideroxydans	-2.502	10.551	0.001923183	0.008997974	Depleted	0.002	0.009
Pusillimonas	-3.27	10.551	0.001948841	0.009088225	Depleted	0.001	0.008
Sulfitobacter	1.337	13.489	0.001962226	0.009098811	Enriched	0.052	0.021
Cesiribacter	-15.772	10.551	0.001968959	0.009098811	Depleted	0	0.006
Cystobacter	2.289	11.551	0.00197024	0.009098811	Enriched	0.017	0.003
Anaerosinus	5.98	12.872	0.001986151	0.009142701	Enriched	0.022	0
Aureibacter	-2.692	12.775	0.002033042	0.00932846	Depleted	0.004	0.027
Halorhodospira	-1.276	11.551	0.002106633	0.009635143	Depleted	0.015	0.035
Tolumonas	0.767	14.747	0.002140207	0.009757431	Enriched	0.157	0.092
Balneola	-3.519	11.287	0.002157001	0.009802677	Depleted	0.001	0.014
Nitrospira	-0.5	15.473	0.002208926	0.010006787	Depleted	0.117	0.165
Jannaschia	5.153	15.323	0.002311307	0.010437453	Enriched	0.174	0.005
Tenacibaculum	3.349	14.665	0.002355056	0.010601466	Enriched	0.064	0.006
Prevotella	4.27	17.466	0.00245588	0.011020569	Enriched	0.452	0.023
Arthrobacter	0.138	16.433	0.002622675	0.011732153	Enriched	0.356	0.324
Rivicola	-0.206	14.666	0.002818996	0.012570959	Depleted	0.126	0.145
Salinispirillum	-2.139	10.551	0.002926033	0.012999599	Depleted	0.002	0.007
Desulfatirhabdium	-4.069	9.966	0.002933336	0.012999599	Depleted	0	0.007
Pelagicola	-17.881	12.874	0.003232477	0.014236867	Depleted	0	0.024
Motilibacter	-18.001	12.667	0.003232477	0.014236867	Depleted	0	0.026
Neoasaia	-3.791	10.966	0.003420719	0.015019586	Depleted	0.001	0.012
Desulfothermus	16.417	11.551	0.003515962	0.015168496	Enriched	0.009	0
Cobetia	15.609	10.551	0.003516032	0.015168496	Enriched	0.005	0
Rufibacter	17.272	13.551	0.003516172	0.015168496	Enriched	0.016	0
Acidaminococcus	16.347	11.966	0.003516172	0.015168496	Enriched	0.008	0
